vin|year|make|model|vehicleType|color|odometer|price393189|2021|Chevrolet|Sportage|SUV|Green|25616|49074.49
917477|2015|Chevrolet|Sportage|Sedan|Yellow|151145|71024.07
128714|2013|Nissan|Elantra|Coupe|Silver|38666|57883.12
424041|2021|Mercedes-Benz|Sportage|Hatchback|Red|24684|74793.75
123498|2024|Chevrolet|Jetta|Sedan|Yellow|199923|26636.98
300521|2006|Honda|C-Class|Convertible|Silver|125328|5167.74
593655|2018|BMW|3 Series|Truck|Silver|191388|42287.71
513172|2014|Mercedes-Benz|Elantra|Truck|Gray|169041|19944.60
716174|2006|Volkswagen|Jetta|Sedan|Gray|57502|61921.50
801034|2016|Mercedes-Benz|Jetta|Coupe|Red|149519|9402.75
170743|2011|BMW|Sportage|Convertible|White|78187|19426.27
804369|2020|BMW|Civic|Hatchback|Silver|137574|58533.50
292903|2014|BMW|Camaro|Convertible|Blue|138788|22880.77
256819|2007|Kia|3 Series|Hatchback|Silver|32621|15412.83
737737|2018|Toyota|F-150|Truck|Silver|7195|66405.30
492328|2019|Honda|Altima|Convertible|Green|14507|17081.32
260235|2008|Nissan|C-Class|Convertible|Red|112742|33764.61
573506|2011|Mercedes-Benz|Camaro|Coupe|Green|30790|47694.71
998268|2009|Hyundai|F-150|Sedan|Yellow|88384|20286.37
306321|2012|Kia|Camaro|Coupe|Green|102115|58652.38
321432|2024|Kia|Sportage|Truck|White|142418|17573.87
159082|2007|Toyota|Sportage|Convertible|Black|140466|62472.12
154247|2022|BMW|Corolla|Truck|Blue|52195|67233.07
129714|2022|BMW|Camaro|Coupe|Black|147520|48765.42
668865|2007|Volkswagen|Camaro|Hatchback|Black|198615|14578.69
896114|2012|Volkswagen|F-150|Truck|Silver|147699|56694.84
629978|2018|BMW|Civic|Sedan|Gray|174841|69329.00
599196|2009|Chevrolet|F-150|Coupe|Red|199848|42107.56
426310|2020|Hyundai|F-150|SUV|Silver|116489|79391.95
666470|2022|Mercedes-Benz|Elantra|Truck|Blue|90502|79312.29
492945|2005|Honda|Elantra|Convertible|Green|125004|13669.60
338667|2024|Toyota|Jetta|Truck|Red|36494|6667.05
687138|2014|Nissan|Jetta|Truck|White|111102|33057.03
819861|2019|Chevrolet|Altima|SUV|Blue|28687|10126.38
383028|2006|Kia|Civic|Sedan|Green|164767|28240.89
549091|2005|Nissan|3 Series|SUV|Gray|154681|44585.29
200985|2008|Chevrolet|3 Series|SUV|White|120574|17097.40
495586|2013|Nissan|Civic|Convertible|Red|142253|25363.80
